lat,lon,temp,precip,lcclass,STATEFP,STATENS,AFFGEOID,GEOID,STUSPS,NAME,LSAD,ALAND,AWATER
70.1667,-156,-11.0256,13.546,"10","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70.1667,-155.5,-10.9576,13.747,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70.1667,-155,-10.8479,13.9818,"10","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70.1667,-154.5,-10.8136,14.2586,"10","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70.1667,-154,-10.7293,14.5091,"10","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70.1667,-153.5,-10.5535,14.6938,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70.1667,-153,-10.4029,14.8281,"10","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70.1667,-152.5,-10.2194,14.8621,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70.1667,-152,-10.1025,14.7949,"10","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70.1667,-151.5,-9.96133,14.5698,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70.1667,-151,-9.85311,14.2109,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70.1667,-150.5,-10.0032,13.8092,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70.1667,-150,-10.104,13.2912,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70.1667,-149.5,-9.98775,12.7244,"10","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70.1667,-149,-10.0381,12.1561,"10","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70.1667,-148.5,-10.1214,11.6633,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70.1667,-148,-10.2553,11.2197,"10","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70.1667,-147.5,-10.3802,10.8609,"16","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70.1667,-146.5,-10.8051,10.5004,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70,-162.5,-9.64148,14.1101,"0","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70,-162,-9.75797,14.018,"10","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70,-161.5,-9.88344,13.9171,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70,-161,-10.0752,13.8651,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70,-160.5,-10.1339,13.7392,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70,-160,-10.1923,13.646,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70,-159.5,-10.3591,13.6274,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70,-159,-10.4849,13.5928,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70,-158.5,-10.6183,13.5914,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70,-158,-10.76,13.639,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70,-157.5,-10.8768,13.6969,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70,-157,-10.9769,13.8212,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70,-156.5,-10.9929,13.9296,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70,-156,-10.8997,14.0715,"10","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70,-155.5,-10.8237,14.2979,"10","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70,-155,-10.6808,14.4998,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70,-154.5,-10.6799,14.8259,"10","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70,-154,-10.554,15.069,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70,-153.5,-10.4112,15.2951,"10","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70,-153,-10.2862,15.4543,"10","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70,-152.5,-10.1025,15.504,"10","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70,-152,-9.94415,15.4296,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70,-151.5,-9.71095,15.1877,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70,-151,-9.65339,14.8196,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70,-150.5,-10.0788,14.4175,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
